id,channel_sales,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,churn,tenure,price_off_peak_var,price_peak_var,price_mid_peak_var,price_off_peak_fix,price_peak_fix,price_mid_peak_fix
74ff037,channel_sales_1,4792,0,0,2011-12-12,2016-12-12,2015-11-01,2015-12-14,719.4,0,0.0,0.0,0.144039,0.0,45.80687796,false,0.0,19.42,19.42,1,60.0,4,code_1,12.5,retention,5,0.15000933333333333,0.0,0.0,44.26693036,0.0,0.0
7287dad,not_specified,7950,0,1100,2009-10-01,2016-10-01,2009-10-01,2015-10-02,856.81,1100,0.0,132.16,0.1152369999999999,0.100123,40.9390266,false,113.82,20.0,20.0,1,94.01,6,code_2,15.01,retention,7,0.12397108333333334,0.10377791666666665,0.07359316666666667,40.648679099999995,24.41142674,16.29280296
26c7bba,channel_sales_2,1856956,41883,164355,2010-09-20,2016-09-20,2010-09-20,2015-09-23,3074.16,0,0.0,99.05,0.1152369999999999,0.100123,40.606701,true,0.0,43.44,43.44,2,487.42,5,code_3,29.0,retention,6,0.10416750000000001,0.08685791666666666,0.06128999999999999,33.81855169999999,20.29112902,13.52741968
44e826a,channel_sales_1,324,0,0,2009-07-07,2016-07-07,2015-05-23,2015-07-09,8.32,0,0.0,1.08,0.14317,0.0,44.31137796,false,0.0,18.62,18.62,2,1.27,7,code_3,13.2,churn,7,0.1474783333333333,0.0,0.0,44.34100546,0.0,0.0
4bffd9d,channel_sales_3,2103,0,0,2011-12-14,2016-08-06,2015-08-06,2015-01-05,355.17,0,30.0,19.6,0.198096,0.0,46.30537836,false,0.0,27.96,27.96,2,19.0,4,code_2,10.392,retention,5,0.17666533333333334,0.0,0.0,45.355820560000005,0.0,0.0
2d9d054,channel_sales_3,19593,0,0,2012-07-03,2016-07-03,2013-10-31,2015-07-04,2886.5,0,0.0,17.55,0.143166,0.0,44.31137796,false,0.0,17.45,17.45,1,243.99,4,code_1,13.856,retention,4,0.14725083333333336,0.0,0.0,44.34100536,0.0,0.0
79d2948,channel_sales_3,41814,0,4159,2012-10-10,2016-10-10,2014-06-26,2015-10-11,4107.43,4159,0.0,129.97,0.1165089999999999,0.101397,40.606701,false,412.54,10.16,10.16,1,477.42,3,code_1,30.45,retention,4,0.12460291666666663,0.10433591666666668,0.07404433333333334,40.728885,24.437330039999996,16.29155496
044d071,not_specified,37969,0,3407,2005-03-28,2016-03-28,2015-03-09,2015-03-29,3879.98,3407,0.0,130.68,0.114604,0.098262,40.606701,false,330.3,44.64,44.64,1,407.98,11,code_3,33.0,retention,11,0.12239216666666665,0.10226774999999998,0.07297908333333333,40.68815609999999,24.4128927,16.2752634
af87b64,channel_sales_1,41214,0,3538,2011-11-04,2016-11-04,2015-11-01,2015-11-05,4294.49,3538,0.0,146.56,0.1153599999999999,0.100243,40.606701,false,352.08,3.72,3.72,1,505.47,4,code_1,19.8,retention,5,0.12555483333333328,0.10514041666666667,0.0748165,40.728885,24.437330039999996,16.29155496
9403f3f,channel_sales_2,2012791,0,218619,2011-06-22,2016-06-22,2011-06-22,2015-06-23,547.35,346,0.0,16.12,0.144902,0.0,44.31137796,false,50.79,21.52,21.52,1,50.38,5,code_2,13.2,retention,5,0.14887133333333327,0.0,0.0,44.35582046,0.0,0.0
51a7edc,channel_sales_2,20429,0,0,2010-03-12,2016-03-12,2010-03-12,2015-03-13,869.54,0,0.0,120.45,0.120372,0.103487,40.606701,false,0.0,60.39,60.39,1,111.64,6,code_2,26.6,retention,6,0.12779733333333335,0.10726091666666666,0.07648824999999997,40.68815609999999,24.4128927,16.2752634
d9260de,channel_sales_1,5957,0,794,2010-06-08,2016-06-08,2010-06-08,2015-06-23,510.87,315,0.0,18.47,0.1457109999999999,0.0,44.31137796,false,46.17,24.4,24.4,1,50.71,6,code_1,15.0,retention,6,0.14985533333333334,0.0,0.0,44.35582046,0.0,0.0
a853b52,channel_sales_3,6047,0,0,2011-11-23,2016-11-23,2011-11-23,2015-11-24,913.0,0,0.0,19.54,0.147506,0.0,45.80687796,false,0.0,17.13,17.13,1,86.43,4,code_2,10.392,retention,5,0.15070391666666666,0.0,0.0,44.40674526,0.0,0.0
91607f6,channel_sales_1,1938393,0,312684,2012-09-01,2016-09-01,2012-09-01,2015-09-02,3426.48,3537,0.0,51.6,0.143166,0.0,44.31137796,false,513.03,11.95,11.95,1,279.26,3,code_1,13.85,retention,4,0.14713683333333336,0.0,0.0,44.31137526,0.0,0.0
757ea31,channel_sales_1,9141,0,1592,2012-03-01,2016-09-20,2015-09-20,2014-03-03,419.22,523,0.0,16.32,0.142881,0.0,46.30537836,false,74.39,29.5,29.5,1,30.9,4,code_1,13.856,retention,4,0.15563433333333332,0.007123583333333333,0.0,45.75895026,0.0,0.0
d53f901,channel_sales_4,4259,0,0,2012-06-25,2016-07-09,2014-07-09,2015-07-12,632.17,0,0.0,16.74,0.144902,0.0,44.31137796,false,0.0,14.64,14.64,1,64.34,4,code_3,10.392,retention,4,0.14783083333333327,0.0,0.0,44.355820359999996,0.0,0.0
af47b8e,channel_sales_2,12199,0,0,2011-01-10,2016-02-29,2011-01-10,2015-03-09,1811.9,0,0.0,21.1,0.145877,0.0,44.31137796,false,0.0,23.4,23.4,1,156.21,5,code_3,10.392,retention,5,0.14890383333333332,0.007123583333333333,0.0,44.266930159999994,0.0,0.0
f8943ed,channel_sales_3,13859,0,0,2011-03-15,2016-03-15,2011-03-15,2015-03-16,8.83,0,0.0,18.26,0.146694,0.0,44.31137796,false,0.0,30.22,30.22,1,0.88,5,code_1,13.2,retention,5,0.15121008333333333,0.0,0.0,44.40026526,0.0,0.0
adfec8a,channel_sales_1,110534,0,7546,2012-04-04,2016-04-04,2012-04-04,2015-04-05,3485.92,2797,0.0,131.87,0.1169099999999999,0.100572,40.606701,false,272.68,32.1,32.1,1,416.74,4,code_1,26.61,retention,4,0.12455424999999999,0.10424024999999999,0.07527483333333333,40.6745798,24.404746919999997,16.26983288
34f2d44,channel_sales_1,79090,0,3319,2009-08-01,2016-08-01,2015-07-12,2015-08-02,2690.38,2191,0.0,130.47,0.114025,0.097683,40.606701,false,201.4,12.36,12.36,1,311.76,6,code_3,19.8,retention,7,0.12211708333333332,0.10149966666666667,0.0719435833333333,40.6202755,24.372163139999998,16.248109359999997
cdcc2c3,not_specified,5162,0,0,2010-11-18,2016-11-18,2010-11-18,2015-11-21,0.0,0,0.0,0.0,0.0006,0.0,0.0,false,0.0,24.33,24.33,1,80.3,5,code_1,13.86,retention,6,0.0006,0.0,0.0,0.0,0.0,0.0
b96aa3a,channel_sales_1,88178,0,6094,2010-01-15,2016-02-14,2013-09-14,2015-02-16,9070.33,6094,0.0,145.41,0.115744,0.098858,40.606701,false,611.08,32.88,32.88,1,719.37,6,code_1,33.0,churn,6,0.12317908333333333,0.10263425,0.07200016666666666,40.7017324,24.421038479999996,16.28069392
54a77b7,channel_sales_4,22333,0,2237,2010-11-17,2016-11-17,2015-05-24,2015-11-18,2377.86,2237,0.0,143.04,0.1152369999999999,0.100123,40.606701,false,226.86,9.93,9.93,1,234.39,5,code_2,52.5,retention,6,0.12419108333333333,0.10377558333333331,0.07345266666666667,40.728885,24.437330039999996,16.29155496
0f7487e,channel_sales_1,31653,0,124,2011-03-05,2016-03-05,2011-03-05,2015-03-06,82.03,124,0.0,129.6,0.120372,0.103487,40.606701,false,12.19,108.9,108.9,1,10.32,5,code_1,48.0,retention,5,0.12779733333333335,0.10726091666666666,0.07648824999999997,40.68815609999999,24.4128927,16.2752634
17e84c1,channel_sales_1,463646,0,40551,2013-06-22,2016-10-09,2013-10-09,2015-10-11,2858.82,0,0.0,117.54,0.1152369999999999,0.100123,40.606701,false,0.0,11.04,11.04,1,372.55,3,code_1,33.0,retention,3,0.12213983333333334,0.10208741666666667,0.07192275,40.6066995,24.36401714,16.24267836
b664719,channel_sales_1,10602,0,951,2012-03-13,2016-03-13,2012-03-13,2015-03-16,1122.03,951,0.0,129.61,0.120372,0.103487,40.606701,false,98.66,36.22,36.22,1,137.56,4,code_1,20.0,retention,4,0.12779733333333335,0.10726091666666666,0.07648824999999997,40.68815609999999,24.4128927,16.2752634
d8e589d,channel_sales_1,21553,0,0,2013-04-09,2016-04-09,2013-04-09,2015-04-12,3213.49,0,0.0,16.09,0.144149,0.0,44.31137796,false,0.0,19.28,19.28,1,301.91,3,code_1,10.392,churn,3,0.14828216666666663,0.0,0.0,44.38545035999999,0.0,0.0
a20ef5d,not_specified,348859,0,53135,2010-12-20,2016-12-20,2010-12-20,2015-12-21,2767.31,2368,0.0,142.63,0.1165089999999999,0.101397,40.606701,false,218.34,4.46,4.46,1,364.43,5,code_3,100.0,retention,6,0.12589958333333331,0.10542591666666666,0.0751985,40.565971499999996,24.339579139999998,16.22638536
413f4bf,channel_sales_1,7314,0,1542,2012-05-28,2016-05-28,2012-05-28,2015-05-29,1094.82,1542,0.0,18.32,0.1457109999999999,0.0,44.31137796,false,226.96,27.69,27.69,1,111.5,4,code_1,15.0,retention,4,0.14991325,0.0,0.0,44.370635459999995,0.0,0.0
3bd97d7,channel_sales_1,1129316,0,79977,2011-12-17,2016-12-17,2011-12-17,2015-12-20,1346.17,1174,0.0,129.24,0.1165089999999999,0.101397,40.606701,false,117.71,2.46,2.46,1,172.91,4,code_1,19.72,churn,5,0.12763158333333327,0.10715891666666667,0.0769325,40.565971499999996,24.339579139999998,16.22638536
cb51718,channel_sales_1,11399,0,1105,2011-05-26,2016-04-01,2014-04-01,2015-04-02,2158.81,1105,24.0,14.44,0.186188,0.0,45.80687796,false,206.39,37.56,37.56,1,864.94,5,code_1,12.5,retention,5,0.18941816666666667,0.0,0.0,45.76093046,0.0,0.0
b50576e,channel_sales_1,162691,0,18860,2011-01-06,2017-01-06,2011-01-06,2016-01-07,7603.69,9069,0.0,130.68,0.115744,0.098858,40.606701,false,836.8,16.32,16.32,1,677.58,5,code_1,16.4,retention,6,0.12298266666666667,0.10251108333333332,0.07213358333333328,40.565971499999996,24.339579139999998,16.22638536
063acc6,not_specified,158223,188601,17754,2010-04-10,2016-04-10,2013-09-16,2015-04-12,5658.04,9471,0.0,129.26,0.114481,0.098142,40.606701,true,940.24,35.81,35.81,3,580.06,6,code_1,40.0,retention,6,0.12235158333333333,0.10203658333333333,0.0730715,40.6745798,24.404746919999997,16.26983288
cd2ac58,channel_sales_3,84410,186857,7891,2011-12-02,2016-12-02,2014-11-17,2015-12-03,3166.13,3007,0.0,132.13,0.1165089999999999,0.101397,40.606701,true,302.49,0.7999999999999989,0.7999999999999989,4,396.63,4,code_2,17.25,retention,5,0.12374941666666667,0.10318675,0.07283133333333333,40.728885,24.437330039999996,16.29155496
78b6708,channel_sales_2,2887,0,0,2013-01-08,2017-01-08,2013-01-08,2016-01-10,436.45,0,0.0,14.91,0.146694,0.0,44.31137796,false,0.0,34.68,34.68,1,49.0,3,code_2,13.856,retention,4,0.15064316666666666,0.0,0.0,44.26693036,0.0,0.0
ac9b406,not_specified,8647,0,829,2010-01-28,2016-01-28,2010-01-28,2015-01-30,399.54,389,0.0,129.6,0.1169,0.1000149999999999,40.606701,false,37.53,51.96,51.96,1,45.47,6,code_1,20.785,retention,6,0.12404141666666667,0.10356983333333332,0.07319325,40.5659712,24.339579360000002,16.22638584
4d4a8d5,channel_sales_2,10,0,0,2011-06-09,2016-06-09,2011-06-09,2015-06-21,1.52,0,0.0,6.67,0.1457109999999999,0.0,44.31137796,false,0.0,21.52,21.52,1,0.16,5,code_2,13.2,retention,5,0.14985533333333334,0.0,0.0,44.355820359999996,0.0,0.0
d26bcf1,channel_sales_4,5682,0,0,2011-03-08,2016-03-08,2011-03-08,2015-03-09,853.4,0,0.0,17.35,0.1458839999999999,0.0,44.31137796,false,0.0,23.76,23.76,1,82.52,5,code_3,10.392,retention,5,0.1499648333333333,0.0,0.0,44.40026526,0.0,0.0
d44fcb3,channel_sales_1,1017579,187578,120936,2011-06-14,2016-06-14,2011-06-14,2015-06-23,100.27,125,0.0,146.81,0.115174,0.098837,40.606701,true,11.86,47.0,47.0,2,14.59,5,code_1,29.7,retention,5,0.12275558333333335,0.10229041666666666,0.0730305,40.6474275,24.38845514,16.25897136
327e887,channel_sales_1,16605,227049,2000,2010-01-12,2016-02-09,2010-01-12,2015-02-11,1694.72,2000,0.0,132.19,0.1169,0.1000149999999999,40.606701,true,200.09,24.72,24.72,2,183.25,6,code_2,16.5,retention,6,0.12433841666666666,0.10379375,0.07316033333333334,40.7017324,24.421038479999996,16.28069392
6f062ee,channel_sales_2,2502,0,0,2012-06-11,2016-06-11,2012-06-11,2015-06-14,375.75,0,0.0,19.51,0.1457109999999999,0.0,44.31137796,false,0.0,22.52,22.52,1,35.96,4,code_3,13.856,retention,4,0.14985533333333334,0.0,0.0,44.355820359999996,0.0,0.0
9cdfb70,channel_sales_1,92718,0,7895,2009-09-09,2016-09-09,2009-09-09,2015-09-10,8796.43,7895,0.0,145.77,0.113323,0.096984,40.606701,true,735.06,14.94,14.94,2,848.79,6,code_1,55.0,retention,7,0.12252608333333333,0.10216816666666667,0.07240399999999994,40.6066995,24.36401714,16.24267836
d8711ce,channel_sales_1,597,0,0,2009-12-01,2016-12-01,2015-11-01,2015-12-02,74.51,0,0.0,13.64,0.16304,0.084395,46.30537836,false,0.0,20.54,20.54,1,20.73,6,code_2,10.392,retention,7,0.16765266666666667,0.08633125000000001,0.0,44.26693046,0.0,0.0
215fcb6,channel_sales_1,64516,21201,3764,2013-03-22,2016-03-22,2014-06-25,2015-03-23,4766.96,3764,0.0,145.03,0.1186359999999999,0.10175,40.606701,true,376.57,22.44,22.44,2,530.16,3,code_3,15.001,churn,3,0.12613616666666663,0.10557699999999999,0.07477108333333331,40.728885,24.437330039999996,16.29155496
33e5a46,channel_sales_1,67923,14693,4898,2012-09-14,2016-02-04,2014-02-04,2015-02-05,6714.09,4898,0.0,147.79,0.112852,0.095965,40.606701,true,469.1,19.92,19.92,2,571.66,3,code_1,20.0,retention,4,0.11997791666666663,0.0995045,0.06912700000000001,40.565971499999996,24.339579139999998,16.22638536
2708355,not_specified,6383,0,1116,2010-01-21,2017-01-21,2015-11-16,2016-01-22,958.79,1116,0.0,16.26,0.145541,0.0,44.31137796,false,163.87,34.68,34.68,1,101.81,6,code_2,13.856,retention,7,0.1502605,0.0,0.0,44.26693036,0.0,0.0
d766f43,channel_sales_3,7042,0,0,2011-11-23,2016-11-23,2011-11-23,2015-11-24,1058.3,0,0.0,19.49,0.147506,0.0,45.80687796,false,0.0,22.89,22.89,1,102.08,4,code_2,13.856,retention,5,0.15070391666666666,0.0,0.0,44.40674536,0.0,0.0
38ff1f7,channel_sales_2,19704,45795,1466,2010-12-08,2016-12-08,2014-11-17,2015-12-09,1991.63,1466,0.0,128.19,0.1165089999999999,0.101397,40.606701,true,147.9,60.84,60.84,3,66.87,5,code_1,25.0,retention,6,0.12445508333333331,0.10397741666666667,0.07374599999999999,40.565971499999996,24.339579139999998,16.22638536
a29ad43,not_specified,15803,0,0,2010-01-01,2017-01-01,2010-01-01,2016-01-02,461.63,0,0.0,16.48,0.1458839999999999,0.0,44.31137796,false,0.0,37.56,37.56,1,45.07,6,code_2,15.0,retention,7,0.14993883333333333,0.0,0.0,44.341005259999996,0.0,0.0
be272db,channel_sales_1,10930,0,3227,2009-07-14,2016-07-14,2009-07-14,2015-07-15,777.96,1578,0.0,16.68,0.165793,0.0885389999999999,44.31137796,false,217.04,14.57,14.57,1,59.82,7,code_3,10.35,retention,7,0.1692034166666667,0.08740891666666667,0.0,44.34100546,0.0,0.0
6187a71,channel_sales_4,15150,0,4700,2013-03-16,2016-03-16,2013-03-16,2015-03-17,1637.98,4700,0.0,10.37,0.1640579999999999,0.086163,44.31137796,false,494.42,29.76,29.76,1,134.5,3,code_1,14.49,retention,3,0.16847991666666662,0.08649975,0.0,44.40026526,0.0,0.0
6ae7e4a,not_specified,3251,0,0,2010-09-15,2016-09-15,2010-09-15,2015-09-16,487.33,0,0.0,16.44,0.1457109999999999,0.0,44.31137796,false,0.0,10.08,10.08,1,47.33,5,code_3,10.392,retention,6,0.14968158333333334,0.0,0.0,44.31137526,0.0,0.0
cfc1377,channel_sales_4,4077,0,668,2010-07-09,2016-07-09,2015-05-23,2015-07-10,601.62,668,0.0,16.89,0.142822,0.0,44.31137796,false,96.52,15.5,15.5,1,59.37,6,code_2,11.0,retention,6,0.14762191666666666,0.0,0.0,44.34100546,0.0,0.0
d4a84ff,not_specified,16163,0,1474,2009-08-01,2016-08-01,2009-08-01,2015-08-02,1739.46,1474,0.0,0.0,0.115174,0.098837,40.606701,false,155.19,12.9,12.9,1,181.75,6,code_2,20.7,retention,7,0.12269558333333334,0.10207958333333333,0.07252483333333333,40.928688879999996,22.343864749999998,14.895910299999999
1d4a665,channel_sales_1,51558,0,0,2012-10-24,2016-11-18,2015-11-18,2015-10-25,3469.21,0,0.0,17.27,0.159815,0.081173,44.31137796,false,0.0,4.83,4.83,2,122.17,3,code_3,10.35,churn,4,0.16589233333333334,0.08419441666666666,0.0,44.37063526,0.0,0.0
e91f386,channel_sales_1,1750,0,64,2012-03-13,2016-03-13,2012-03-13,2015-03-16,176.01,64,0.0,127.81,0.120372,0.103487,40.606701,false,6.08,37.39,37.39,1,21.87,4,code_1,16.5,retention,4,0.12779733333333335,0.10726091666666666,0.07648824999999997,40.68815609999999,24.4128927,16.2752634
b5159f0,channel_sales_1,51774,0,4095,2012-03-10,2016-03-10,2012-03-10,2015-03-11,5282.47,4095,0.0,130.67,0.1186359999999999,0.10175,40.606701,false,406.53,23.66,23.66,1,544.49,4,code_1,26.4,retention,4,0.1264915833333333,0.10595441666666666,0.0751825,40.68815609999999,24.4128927,16.2752634
c0465e0,channel_sales_1,38268,0,3598,2010-09-04,2016-09-04,2015-08-27,2015-09-05,2318.35,2495,0.0,167.76,0.114025,0.097683,40.606701,false,234.18,23.99,23.99,1,295.02,5,code_1,50.0,retention,6,0.12218650000000002,0.10149241666666665,0.0717875833333333,40.6066995,24.36401714,16.24267836
3c52cd1,channel_sales_1,84527,0,5925,2012-04-04,2016-04-04,2015-04-15,2015-04-05,3787.85,3230,0.0,129.61,0.1157609999999999,0.099419,40.606701,false,325.09,25.44,25.44,1,428.99,4,code_1,21.04,churn,4,0.123658,0.10331366666666664,0.07430558333333333,40.728885,24.437330039999996,16.29155496
0acfc92,channel_sales_1,8345,0,0,2010-06-30,2016-06-10,2014-06-10,2015-06-23,1210.54,0,0.0,16.55,0.142065,0.0,44.31137796,false,0.0,27.52,27.52,1,112.04,6,code_1,13.3,retention,6,0.14522116666666665,0.0,0.0,44.38545035999999,0.0,0.0
