channel_sales,cons_12m,cons_gas_12m,forecast_cons_12m,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_peak,has_gas,imp_cons,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,price_mid_peak_fix,churn
0,12157,0,1418.81,0.0,16.42,0.082403,0,0.0,23.4,2,123.87,3,1,10.392,0.0,retention
7,13122,0,1932.42,0.0,19.51,0.0,0,0.0,3.56,1,150.7,6,1,13.2,0.0,retention
0,3584,0,379.83,0.0,145.98,0.100123,0,32.61,57.72,1,38.76,5,0,23.1,16.27348306,churn
7,2632,0,394.83,0.0,15.98,0.0,0,0.0,14.64,1,38.62,6,2,10.392,0.0,retention
0,4792,0,719.4,0.0,0.0,0.0,0,0.0,19.42,1,60.0,4,0,12.5,0.0,retention
7,7950,0,856.81,0.0,132.16,0.100123,0,113.82,20.0,1,94.01,6,1,15.01,16.29280296,retention
1,1856956,41883,3074.16,0.0,99.05,0.100123,1,0.0,43.44,2,487.42,5,2,29.0,13.52741968,retention
0,324,0,8.32,0.0,1.08,0.0,0,0.0,18.62,2,1.27,7,2,13.2,0.0,churn
2,2103,0,355.17,30.0,19.6,0.0,0,0.0,27.96,2,19.0,4,1,10.392,0.0,retention
2,19593,0,2886.5,0.0,17.55,0.0,0,0.0,17.45,1,243.99,4,0,13.856,0.0,retention
2,41814,0,4107.43,0.0,129.97,0.101397,0,412.54,10.16,1,477.42,3,0,30.45,16.29155496,retention
7,37969,0,3879.98,0.0,130.68,0.098262,0,330.3,44.64,1,407.98,11,2,33.0,16.2752634,retention
0,41214,0,4294.49,0.0,146.56,0.100243,0,352.08,3.72,1,505.47,4,0,19.8,16.29155496,retention
1,2012791,0,547.35,0.0,16.12,0.0,0,50.79,21.52,1,50.38,5,1,13.2,0.0,retention
1,20429,0,869.54,0.0,120.45,0.103487,0,0.0,60.39,1,111.64,6,1,26.6,16.2752634,retention
0,5957,0,510.87,0.0,18.47,0.0,0,46.17,24.4,1,50.71,6,0,15.0,0.0,retention
2,6047,0,913.0,0.0,19.54,0.0,0,0.0,17.13,1,86.43,4,1,10.392,0.0,retention
0,1938393,0,3426.48,0.0,51.6,0.0,0,513.03,11.95,1,279.26,3,0,13.85,0.0,retention
0,9141,0,419.22,0.0,16.32,0.0,0,74.39,29.5,1,30.9,4,0,13.856,0.0,retention
3,4259,0,632.17,0.0,16.74,0.0,0,0.0,14.64,1,64.34,4,2,10.392,0.0,retention
1,12199,0,1811.9,0.0,21.1,0.0,0,0.0,23.4,1,156.21,5,2,10.392,0.0,retention
2,13859,0,8.83,0.0,18.26,0.0,0,0.0,30.22,1,0.88,5,0,13.2,0.0,retention
0,110534,0,3485.92,0.0,131.87,0.100572,0,272.68,32.1,1,416.74,4,0,26.61,16.26983288,retention
0,79090,0,2690.38,0.0,130.47,0.097683,0,201.4,12.36,1,311.76,6,2,19.8,16.248109359999997,retention
7,5162,0,0.0,0.0,0.0,0.0,0,0.0,24.33,1,80.3,5,0,13.86,0.0,retention
0,88178,0,9070.33,0.0,145.41,0.098858,0,611.08,32.88,1,719.37,6,0,33.0,16.28069392,churn
3,22333,0,2377.86,0.0,143.04,0.100123,0,226.86,9.93,1,234.39,5,1,52.5,16.29155496,retention
0,31653,0,82.03,0.0,129.6,0.103487,0,12.19,108.9,1,10.32,5,0,48.0,16.2752634,retention
0,463646,0,2858.82,0.0,117.54,0.100123,0,0.0,11.04,1,372.55,3,0,33.0,16.24267836,retention
0,10602,0,1122.03,0.0,129.61,0.103487,0,98.66,36.22,1,137.56,4,0,20.0,16.2752634,retention
0,21553,0,3213.49,0.0,16.09,0.0,0,0.0,19.28,1,301.91,3,0,10.392,0.0,churn
7,348859,0,2767.31,0.0,142.63,0.101397,0,218.34,4.46,1,364.43,5,2,100.0,16.22638536,retention
0,7314,0,1094.82,0.0,18.32,0.0,0,226.96,27.69,1,111.5,4,0,15.0,0.0,retention
0,1129316,0,1346.17,0.0,129.24,0.101397,0,117.71,2.46,1,172.91,4,0,19.72,16.22638536,churn
0,11399,0,2158.81,24.0,14.44,0.0,0,206.39,37.56,1,864.94,5,0,12.5,0.0,retention
0,162691,0,7603.69,0.0,130.68,0.098858,0,836.8,16.32,1,677.58,5,0,16.4,16.22638536,retention
7,158223,188601,5658.04,0.0,129.26,0.098142,1,940.24,35.81,3,580.06,6,0,40.0,16.26983288,retention
2,84410,186857,3166.13,0.0,132.13,0.101397,1,302.49,0.7999999999999989,4,396.63,4,1,17.25,16.29155496,retention
1,2887,0,436.45,0.0,14.91,0.0,0,0.0,34.68,1,49.0,3,1,13.856,0.0,retention
7,8647,0,399.54,0.0,129.6,0.1000149999999999,0,37.53,51.96,1,45.47,6,0,20.785,16.22638584,retention
1,10,0,1.52,0.0,6.67,0.0,0,0.0,21.52,1,0.16,5,1,13.2,0.0,retention
3,5682,0,853.4,0.0,17.35,0.0,0,0.0,23.76,1,82.52,5,2,10.392,0.0,retention
0,1017579,187578,100.27,0.0,146.81,0.098837,1,11.86,47.0,2,14.59,5,0,29.7,16.25897136,retention
0,16605,227049,1694.72,0.0,132.19,0.1000149999999999,1,200.09,24.72,2,183.25,6,1,16.5,16.28069392,retention
1,2502,0,375.75,0.0,19.51,0.0,0,0.0,22.52,1,35.96,4,2,13.856,0.0,retention
0,92718,0,8796.43,0.0,145.77,0.096984,1,735.06,14.94,2,848.79,6,0,55.0,16.24267836,retention
0,597,0,74.51,0.0,13.64,0.084395,0,0.0,20.54,1,20.73,6,1,10.392,0.0,retention
0,64516,21201,4766.96,0.0,145.03,0.10175,1,376.57,22.44,2,530.16,3,2,15.001,16.29155496,churn
0,67923,14693,6714.09,0.0,147.79,0.095965,1,469.1,19.92,2,571.66,3,0,20.0,16.22638536,retention
7,6383,0,958.79,0.0,16.26,0.0,0,163.87,34.68,1,101.81,6,1,13.856,0.0,retention
2,7042,0,1058.3,0.0,19.49,0.0,0,0.0,22.89,1,102.08,4,1,13.856,0.0,retention
1,19704,45795,1991.63,0.0,128.19,0.101397,1,147.9,60.84,3,66.87,5,0,25.0,16.22638536,retention
7,15803,0,461.63,0.0,16.48,0.0,0,0.0,37.56,1,45.07,6,1,15.0,0.0,retention
0,10930,0,777.96,0.0,16.68,0.0885389999999999,0,217.04,14.57,1,59.82,7,2,10.35,0.0,retention
3,15150,0,1637.98,0.0,10.37,0.086163,0,494.42,29.76,1,134.5,3,0,14.49,0.0,retention
7,3251,0,487.33,0.0,16.44,0.0,0,0.0,10.08,1,47.33,5,2,10.392,0.0,retention
3,4077,0,601.62,0.0,16.89,0.0,0,96.52,15.5,1,59.37,6,1,11.0,0.0,retention
7,16163,0,1739.46,0.0,0.0,0.098837,0,155.19,12.9,1,181.75,6,1,20.7,14.895910299999999,retention
0,51558,0,3469.21,0.0,17.27,0.081173,0,0.0,4.83,2,122.17,3,2,10.35,0.0,churn
0,1750,0,176.01,0.0,127.81,0.103487,0,6.08,37.39,1,21.87,4,0,16.5,16.2752634,retention
0,51774,0,5282.47,0.0,130.67,0.10175,0,406.53,23.66,1,544.49,4,0,26.4,16.2752634,retention
0,38268,0,2318.35,0.0,167.76,0.097683,0,234.18,23.99,1,295.02,5,0,50.0,16.24267836,retention
0,84527,0,3787.85,0.0,129.61,0.099419,0,325.09,25.44,1,428.99,4,0,21.04,16.29155496,churn
0,8345,0,1210.54,0.0,16.55,0.0,0,0.0,27.52,1,112.04,6,0,13.3,0.0,retention
7,1540,43,19.59,0.0,132.11,0.100572,1,1.83,42.48,2,2.43,6,2,17.0,16.26983288,churn
0,1644,0,312.66,28.0,13.8,0.0,0,0.0,48.6,1,27.83,4,0,13.856,0.0,retention
0,4527,0,676.72,0.0,16.16,0.0,0,0.0,21.48,1,63.75,4,2,10.392,0.0,retention
0,3875,0,577.24,0.0,18.47,0.0,0,0.0,17.62,1,53.89,6,0,12.5,0.0,retention
0,8011,0,800.29,0.0,132.53,0.1000149999999999,0,89.44,37.39,1,87.02,6,1,16.5,16.2752634,retention
0,6569,0,983.37,0.0,16.78,0.0,0,163.2,26.04,1,94.42,4,2,10.392,0.0,retention
7,1175,0,177.21,0.0,19.34,0.0,0,26.26,26.04,1,16.97,6,1,10.392,0.0,retention
0,8369,0,1251.18,0.0,15.16,0.0,0,136.14,34.68,1,121.33,5,0,13.84,0.0,retention
2,15295,0,1313.84,0.0,130.31,0.103487,0,140.32,31.32,1,156.02,4,0,17.320999999999998,16.2752634,retention
2,18262,0,1310.31,0.0,129.59,0.102308,0,110.9,32.48,1,159.02,4,0,20.0,16.26983288,retention
0,7921,0,1179.04,0.0,0.0,0.0,0,298.7,18.62,1,108.67,7,2,13.2,0.0,retention
0,52988,24114,4608.72,0.0,18.37,0.0,1,797.2,10.84,2,362.56,4,0,12.5,0.0,retention
0,1616,0,218.71,0.0,13.87,0.0885389999999999,0,0.0,10.03,1,21.2,6,2,10.35,0.0,retention
7,916711,0,1013.87,0.0,19.47,0.0,0,0.0,19.2,1,107.14,6,2,10.392,0.0,retention
0,2274,0,342.23,0.0,0.0,0.0,0,57.66,30.98,1,35.18,3,0,15.0,0.0,retention
0,5759,0,593.6,0.0,13.57,0.088449,0,0.0,18.99,1,70.63,6,1,11.504,0.0,retention
1,50538,0,5445.84,0.0,132.11,0.09781,0,422.0,18.96,1,447.52,6,2,19.0,16.28069392,retention
0,2769,0,417.34,0.0,15.15,0.0,0,0.0,18.12,1,52.79,4,0,10.4,0.0,retention
0,2958,0,445.9,0.0,17.13,0.0,0,0.0,28.02,1,26.77,6,2,13.856,0.0,retention
0,1366,0,258.84,30.0,18.7,0.0,0,63.83,46.32,1,17.49,4,0,13.2,0.0,retention
0,5994,0,636.86,0.0,128.89,0.100123,0,82.51,25.46,1,67.31,4,0,17.2,16.32601176,churn
0,10,0,1.09,0.0,130.45,0.098261,0,0.0,35.59,1,0.11,6,0,26.3,16.25354036,retention
1,2288838,0,1263.69,0.0,0.0,0.0,0,0.0,21.24,1,123.56,6,1,11.5,0.0,retention
0,528,0,142.05,0.0,18.37,0.0,0,41.27,197.28,1,65.99,3,0,13.15,0.0,churn
2,4043,14289,416.31,0.0,143.41,0.100572,1,35.61,29.85,2,48.81,3,0,16.5,16.25897136,retention
1,50243,28066,1429.06,0.0,19.61,0.0,1,0.0,27.32,3,141.34,5,1,13.2,0.0,retention
0,13561,277,1997.35,0.0,18.07,0.0,1,397.57,11.7,2,152.17,3,0,11.0,0.0,retention
0,1845,0,273.33,0.0,16.26,0.0,0,44.81,28.02,1,21.61,6,1,13.856,0.0,retention
0,13379,0,852.32,0.0,18.32,0.0,0,0.0,17.62,1,86.03,4,0,12.5,0.0,retention
7,2123,0,316.47,0.0,16.44,0.0,0,0.0,12.82,1,29.17,6,2,13.2,0.0,retention
1,1676,0,26.77,0.0,133.73,0.100243,0,3.74,37.44,1,3.28,6,1,15.001,16.348358559999998,churn
7,18725,0,413.38,0.0,14.62,0.0,0,0.0,26.2,1,50.78,5,1,15.0,0.0,retention
0,41588,0,4353.28,0.0,141.68,0.100823,0,520.17,5.76,1,527.27,3,2,17.320999999999998,14.890480259999999,retention
0,23481,7913,2560.4,0.0,16.49,0.0868029999999999,1,0.0,14.7,2,194.14,6,1,13.856,0.0,retention
1,535973,147192,1687.23,0.0,16.11,0.087381,1,180.55,17.22,2,165.61,6,1,10.392,0.0,retention
3,76233,0,3844.96,0.0,16.27,0.0,0,671.99,2.8,1,294.93,4,1,10.392,0.0,retention
0,35055,0,5154.28,0.0,13.83,0.0,0,869.45,21.81,1,454.73,4,0,13.15,0.0,retention
7,9219,0,841.26,0.0,16.86,0.087382,0,247.16,10.08,1,98.01,6,1,10.392,0.0,retention
7,4394,0,557.05,0.0,40.69,0.086741,1,0.0,27.32,3,49.33,5,1,13.2,0.0,retention
1,1899670,0,5249.29,0.0,44.53,0.087381,0,0.0,16.66,1,453.85,6,1,13.2,0.0,retention
7,8471,0,868.97,0.0,15.98,0.0,0,0.0,15.12,1,84.58,6,1,13.2,0.0,retention
7,39375,0,1366.21,0.0,132.5,0.095969,0,92.4,40.8,1,141.86,6,1,20.4,16.22638536,retention
1,1679,0,328.61,30.0,17.58,0.0,0,26.37,43.8,2,18.55,6,0,12.5,0.0,retention
1,170442,0,737.23,0.0,9.65,0.0,0,10.89,22.44,1,83.38,6,1,13.8,0.0,retention
7,2374,0,356.98,0.0,16.0,0.0,0,0.0,20.54,1,34.12,6,1,10.392,0.0,retention
7,9818,0,966.06,0.0,131.79,0.098837,0,141.84,94.2,1,105.37,12,2,37.71,16.2752634,retention
2,2206,0,274.3,0.0,14.05,0.083909,0,7.51,26.04,1,30.35,4,0,10.392,0.0,churn
0,3118110,468369,3269.76,0.0,39.77,0.10175,1,353.43,24.0,2,387.56,4,0,16.0,12.169789139999999,retention
7,0,0,0.0,0.0,131.42,0.100572,0,0.0,31.26,1,0.0,5,2,17.25,16.26440236,retention
7,2002,0,303.09,0.0,16.79,0.0,0,0.0,21.38,1,31.06,6,1,10.35,0.0,retention
7,4664,0,696.93,0.0,18.47,0.0,0,0.0,19.52,1,57.34,6,0,12.5,0.0,retention
0,14878,0,932.03,0.0,15.98,0.0,0,0.0,18.12,1,88.02,6,1,10.392,0.0,retention
0,35323,20175,4651.56,24.0,142.4,0.125137,1,591.62,144.35,2,606.29,4,0,43.6,16.76356941,retention
0,23654,0,2422.65,0.0,130.85,0.100572,0,0.0,23.4,1,322.93,3,0,22.0,16.29155496,retention
1,1563319,0,975.54,0.0,0.0,0.0,1,0.0,27.32,2,103.34,6,1,13.2,0.0,retention
1,1740024,0,2705.19,0.0,16.56,0.084198,0,484.44,22.95,1,258.44,6,1,13.856,0.0,retention
0,8570,0,1276.28,0.0,18.71,0.0,0,0.0,16.92,1,114.66,6,0,10.392,0.0,retention
3,4936,0,0.15,0.0,19.54,0.0,0,0.0,25.92,1,0.03,5,1,10.35,0.0,retention
2,10450,0,1564.01,0.0,6.51,0.0,0,291.32,11.7,1,141.83,3,0,11.0,0.0,retention
0,6060,0,901.19,0.0,25.33,0.0,0,180.61,19.04,1,87.0,7,0,13.5,0.0,retention
7,4244,3468,641.08,0.0,16.1,0.0,1,0.0,26.04,3,66.14,6,1,10.392,0.0,retention
1,834128,0,1302.75,0.0,16.09,0.087381,0,230.6,16.66,4,150.39,6,1,13.2,0.0,retention
1,5869,0,879.95,0.0,16.9,0.0,0,0.0,9.919999999999993,1,75.75,6,0,13.2,0.0,churn
0,144978,0,4915.5,0.0,1.12,0.0,0,0.0,6.18,1,448.37,4,0,13.2,0.0,retention
7,411050,0,4717.08,0.0,38.74,0.086163,0,1124.86,29.76,1,316.06,6,1,13.2,0.0,retention
7,879,0,131.92,0.0,15.56,0.0,0,0.0,21.52,1,13.59,6,1,13.2,0.0,retention
3,273212,0,3968.2,0.0,131.39,0.098261,0,266.17,24.18,1,486.74,4,2,20.0,16.29155496,retention
3,8955,0,936.97,0.0,129.71,0.103487,0,78.64,37.92,1,115.27,6,1,15.2,16.28069392,retention
0,217269,0,4419.85,0.0,117.89,0.100123,0,542.02,3.9,1,573.85,5,0,20.785,16.24267836,retention
0,21712,0,3163.85,0.0,16.81,0.0,0,500.85,11.04,1,256.06,3,0,10.39,0.0,retention
3,7502,0,1077.55,0.0,19.62,0.0,0,141.68,36.24,1,122.45,4,2,14.49,0.0,retention
1,15040,4383,1625.53,0.0,116.84,0.101155,1,0.0,30.18,2,204.98,6,5,25.0,16.26983288,retention
1,489,0,73.34,0.0,16.0,0.0,0,0.0,27.44,1,6.89,6,1,13.2,0.0,retention
2,61093,0,6082.82,0.0,143.6,0.1000149999999999,0,1900.55,248.64,1,348.93,3,0,166.0,16.29155496,retention
7,9,0,1.38,0.0,21.97,0.0,0,0.0,23.76,1,0.15,5,2,10.392,0.0,retention
0,15551,0,1340.6,0.0,131.26,0.101397,0,64.03,8.25,1,215.75,3,2,43.648,16.23181636,retention
0,27773,0,2878.99,0.0,128.55,0.100243,0,173.43,4.02,1,319.83,3,0,21.04,16.237247359999998,retention
0,4213,0,523.18,0.0,16.61,0.0,0,0.0,24.4,1,55.5,4,0,15.0,0.0,churn
1,392524,0,3389.28,0.0,22.86,0.083849,0,827.06,27.14,1,266.7,4,1,13.2,0.0,retention
0,9521,0,278.47,0.0,15.86,0.0,0,46.54,5.52,1,20.87,3,0,10.392,0.0,retention
2,15075,0,1623.64,0.0,117.89,0.103487,0,0.0,37.49,2,216.27,4,0,27.713,16.2752634,retention
0,22886,0,833.87,0.0,143.61,0.098837,0,78.69,47.16,1,94.62,4,0,23.1,16.26983288,retention
2,21728,3784,2165.84,0.0,143.24,0.099998,1,0.0,20.4,2,264.86,4,0,26.4,16.29155496,retention
7,7926,7235,1190.56,0.0,18.57,0.0,1,0.0,26.04,3,124.71,6,0,10.392,0.0,retention
2,4530,0,686.76,0.0,18.52,0.0,0,123.18,28.58,1,72.98,4,0,12.5,0.0,churn
3,2474,0,374.96,0.0,16.25,0.0,0,0.0,30.22,1,38.85,3,1,13.2,0.0,retention
2,7859,0,1178.98,0.0,18.32,0.0,0,187.26,6.66,1,52.94,4,0,12.5,0.0,retention
1,3369,0,358.88,0.0,130.78,0.098837,0,0.0,20.43,1,38.11,4,2,15.1,16.25354084,retention
2,4656,0,483.07,0.0,134.41,0.100572,0,33.24,83.72,1,52.44,5,1,41.05,16.26983288,retention
0,50461,4300,3907.22,0.0,14.28,0.0,1,547.82,23.4,2,370.77,3,0,10.392,0.0,churn
0,19330,0,2864.21,0.0,19.45,0.0,0,0.0,31.08,1,270.48,3,2,13.8,0.0,retention
0,4503,0,678.86,0.0,13.75,0.0,0,59.31,17.1,1,68.56,5,0,10.35,0.0,retention
3,7018,0,792.54,0.0,15.63,0.089602,0,0.0,21.09,1,78.3,3,2,10.392,0.0,retention
1,46192,0,4565.98,0.0,131.82,0.100123,0,258.12,11.11,1,529.11,5,1,23.1,16.24267836,retention
1,94571,0,2460.12,0.0,131.4,0.10175,1,198.3,31.21,2,297.97,6,1,23.1,16.29155496,retention
0,45278,0,4709.83,0.0,129.37,0.100572,0,554.24,8.839999999999991,1,544.24,4,0,18.41,16.24267836,retention
0,5877,0,864.64,0.0,15.2,0.0,0,65.29,19.2,1,87.47,4,0,10.392,0.0,retention
0,788113,0,3064.47,0.0,127.12,0.096521,0,185.54,19.0,1,334.5,4,0,20.785,16.25897136,retention
7,7411,43797,1101.74,0.0,13.78,0.0,1,10.29,29.76,2,183.22,6,1,13.2,0.0,retention
3,51661,0,5063.16,0.0,145.9,0.096984,0,409.35,8.28,1,465.3,4,0,17.32,16.25354036,retention
0,18315,0,1941.75,0.0,130.69,0.10175,0,147.84,54.07,1,237.79,4,0,40.0,16.29155496,retention
0,13685,0,764.95,0.0,18.53,0.0,0,0.0,16.12,1,65.07,6,1,10.35,0.0,churn
0,5443,54,173.68,0.0,119.53,0.1000149999999999,1,13.07,43.32,2,19.76,5,0,17.32,16.28069392,retention
2,5203,4743,783.8,0.0,6.86,0.0,1,0.0,20.52,5,60.62,4,2,13.2,0.0,retention
0,18795,0,1852.85,0.0,146.08,0.096521,0,175.9,20.8,1,195.52,6,0,17.2,16.26983288,retention
7,19108,0,609.29,0.0,16.94,0.0,0,0.0,20.22,1,49.96,6,0,13.0,0.0,retention
3,29061,0,2985.6,0.0,131.76,0.100572,0,284.62,13.3,1,370.58,6,1,17.25,16.29155496,retention
0,48108,0,1149.33,0.0,16.29,0.0,0,0.0,13.4,1,79.1,5,0,13.85,0.0,retention
7,21873,0,0.0,0.0,0.0,0.086163,0,0.0,31.2,1,1049.5,5,1,13.856,0.0,retention
0,4241,0,628.77,0.0,20.11,0.0,0,107.11,9.919999999999993,1,44.74,3,0,13.2,0.0,retention
0,67955,0,4481.83,0.0,132.78,0.099665,0,582.99,0.8999999999999989,1,539.15,3,2,20.0,14.87418678,retention
0,6207104,41532,4499.15,0.0,359.25,0.098837,1,556.89,40.62,2,452.72,4,0,65.0,16.248109359999997,retention
0,6773,0,662.03,0.0,144.58,0.099548,0,55.83,21.96,1,77.69,6,0,16.5,16.29823396,retention
7,11116,29304,1666.63,0.0,7.33,0.0,1,0.0,14.7,3,479.4,8,2,13.856,0.0,retention
7,7053,0,290.02,0.0,20.02,0.0,0,23.8,24.62,1,22.15,6,0,12.5,0.0,retention
0,35042,0,3563.46,0.0,116.81,0.098837,0,350.32,25.02,1,434.07,5,0,40.0,16.248109359999997,retention
0,80856,0,1528.88,0.0,140.69,0.100123,0,243.86,23.4,1,202.88,5,0,10.392,16.29155496,retention
7,82693,0,8321.43,0.0,131.42,0.096984,0,748.19,16.59,1,720.9,11,2,24.15,16.26440236,retention
0,12033,0,1787.12,0.0,19.67,0.0,0,0.0,28.45,1,164.29,5,0,13.85,0.0,retention
7,5222,0,519.79,0.0,15.32,0.0,0,0.0,18.12,1,53.96,5,2,10.392,0.0,retention
0,8097,13881,1215.08,0.0,18.72,0.0,1,238.08,19.2,2,118.77,4,0,10.392,0.0,retention
0,600238,0,8365.63,0.0,43.96,0.087548,0,0.0,6.18,1,843.99,4,0,13.2,0.0,retention
7,12473,0,1446.5,0.0,23.02,0.084143,0,0.0,23.4,1,139.63,6,1,10.392,0.0,retention
7,19070,0,2814.29,0.0,15.53,0.0,0,0.0,8.98,1,240.21,4,2,10.392,0.0,retention
0,10081,458306,1055.54,0.0,121.17,0.103487,0,0.0,29.91,1,139.86,6,1,16.5,16.2752634,retention
7,9312,0,1400.92,0.0,16.16,0.0,0,0.0,11.84,1,137.71,6,1,10.392,0.0,retention
7,26798,0,0.0,0.0,0.0,0.0,0,0.0,23.4,1,254.0,9,0,10.39,0.0,retention
7,8093,21543,1029.27,0.0,37.56,0.087899,1,128.98,23.76,5,111.26,6,0,10.392,0.0,retention
2,44650,0,4540.5,0.0,129.85,0.099998,0,302.13,71.88,1,585.63,4,0,48.0,16.29155496,retention
7,6933,0,1025.73,0.0,16.71,0.0,0,0.0,22.52,1,97.16,6,1,13.856,0.0,retention
0,47613,0,122.48,0.0,18.72,0.0,0,0.0,12.57,1,9.27,4,0,13.0,0.0,churn
0,31690,0,3203.27,0.0,129.25,0.098837,0,352.74,64.6,1,285.52,3,0,45.67,14.906772779999999,retention
0,6222,0,655.11,0.0,118.24,0.099419,0,0.0,19.5,1,83.96,4,0,17.320999999999998,16.25897136,retention
7,10838,6466,1158.69,0.0,19.25,0.0,1,0.0,33.12,3,108.8,7,2,13.2,0.0,retention
1,1369334,0,5473.92,0.0,137.27,0.098858,0,469.84,35.81,1,493.12,4,1,40.0,16.2752634,retention
1,18856,0,1967.87,0.0,16.18,0.0,0,0.0,16.8,1,144.28,3,0,13.856,0.0,retention
2,8605,0,353.5,0.0,16.71,0.0,0,61.55,19.11,1,36.74,6,1,10.35,0.0,retention
1,80886,0,7817.48,0.0,132.85,0.096984,0,679.99,7.68,2,715.66,5,2,20.5,16.29155496,retention
0,11352,1717,1683.54,0.0,17.16,0.0,1,0.0,20.2,2,160.48,4,0,13.856,0.0,retention
0,11322,0,1294.68,0.0,0.53,0.089602,0,79.48,18.72,1,107.0,4,0,13.2,0.0,retention
0,16262,0,2405.94,0.0,17.29,0.0,0,0.0,23.4,1,221.92,3,0,10.39,0.0,churn
1,32322,0,3232.27,0.0,131.76,0.099419,0,401.9,17.81,1,408.29,6,2,23.1,16.25354036,retention
0,1823,0,346.03,28.0,16.38,0.0,0,0.0,46.32,1,30.62,4,2,13.2,0.0,retention
0,54072,0,416.36,28.0,16.19,0.0,0,0.0,36.48,1,37.25,4,0,10.392,0.0,churn
7,190142,16706,18481.68,30.0,131.85,0.1363359999999999,1,1506.4,144.46,3,994.72,6,1,43.648,16.65258435,retention
0,312696,0,1643.67,0.0,129.61,0.097963,0,7.78,0.0,1,166.59,5,0,25.0,16.29155496,retention
0,21527,0,3171.55,0.0,18.21,0.0,0,0.0,21.72,1,289.86,4,0,13.1,0.0,retention
1,721632,0,6340.05,0.0,131.78,0.098858,0,603.22,26.4,1,530.1,4,1,26.4,16.28069392,retention
2,100815,0,935.06,0.0,131.38,0.098841,0,118.54,27.97,1,99.23,4,1,31.17,16.24267836,retention
0,2539,14509,331.98,0.0,18.32,0.0,1,45.49,26.04,2,38.33,3,0,10.392,0.0,retention
0,3521,0,355.8,0.0,131.38,0.1000149999999999,0,33.86,47.64,1,37.73,8,2,19.05,16.22638536,retention
7,5107,0,773.97,0.0,6.9,0.0,0,0.0,27.32,1,80.72,6,1,13.2,0.0,retention
7,7350,0,792.68,0.0,15.01,0.0885389999999999,0,195.21,14.57,1,83.69,7,2,10.35,0.0,retention
2,8624,0,897.65,0.0,129.61,0.099419,0,66.26,49.08,1,109.91,4,0,43.646,16.25897136,retention
1,204452,0,6708.28,0.0,131.38,0.098142,0,656.03,20.21,1,802.86,6,1,22.668000000000003,16.2752634,retention
0,2301,0,347.64,0.0,15.86,0.0,0,0.0,21.64,1,35.21,5,0,10.392,0.0,retention
